key,value,date
M,9,01/01/1929
M,8,01/01/1930
M,3,01/01/1931
F,1,01/01/1932
M,16,01/01/1932
M,95,01/01/1933
F,4,01/01/1934
M,213,01/01/1934
N,38,01/01/1934
F,5,01/01/1935
M,411,01/01/1935
N,2,01/01/1935
F,12,01/01/1936
M,94,01/01/1936
N,44,01/01/1936
F,10,01/01/1937
M,257,01/01/1937
N,48,01/01/1937
F,8,01/01/1938
M,118,01/01/1938
N,10,01/01/1938
F,5,01/01/1939
M,403,01/01/1939
N,10,01/01/1939
F,191,01/01/1940
M,1302,01/01/1940
N,33,01/01/1940
F,87,01/01/1941
M,765,01/01/1941
N,17,01/01/1941
F,79,01/01/1942
M,720,01/01/1942
N,24,01/01/1942
F,17,01/01/1943
M,404,01/01/1943
N,694,01/01/1943
F,21,01/01/1944
M,290,01/01/1944
N,29,01/01/1944
F,6,01/01/1945
M,261,01/01/1945
N,17,01/01/1945
F,6,01/01/1946
M,145,01/01/1946
N,15,01/01/1946
F,75,01/01/1947
M,312,01/01/1947
N,40,01/01/1947
F,15,01/01/1948
M,345,01/01/1948
N,41,01/01/1948
F,45,01/01/1949
M,1519,01/01/1949
N,7,01/01/1949
F,18,01/01/1950
M,402,01/01/1950
N,25,01/01/1950
F,74,01/01/1951z